Boostability 2024 - Monthly Trend Dashboard
(August 14 - December 31, 2024)
Expense Category,August,September,October,November,December,2024 Total (Aug-Dec),% of Budget
Platform & Development,"$21.89","$20.00","$109.99","$835.68","$467.18","$1,454.74",46.0%
AI & LLM Services,"$0.00","$20.00","$0.00","$20.00","$20.00","$60.00",1.9%
Team Communications,"$0.00","$0.00","$0.00","$16.99","$16.99","$33.98",1.1%
Legal & Professional Services,"$0.00","$0.00","$109.99","$370.23","$852.24","$1,332.46",42.2%
Conferences & Business Development,"$0.00","$0.00","$0.00","$1,283.09","$0.00","$1,283.09",40.6%
Infrastructure & Operations,"$0.00","$0.00","$0.00","$126.60","$98.30","$224.90",7.1%
Equipment & Technology,"$0.00","$0.00","$0.00","$0.00","$0.00","$0.00",0.0%
Office Supplies & Miscellaneous,"$21.89","$0.00","$0.00","$0.00","$0.00","$21.89",0.7%
Bank & Transaction Fees,"$0.00","$0.00","$0.00","$2.95","$0.00","$2.95",0.1%
MONTHLY TOTAL,"$43.78","$40.00","$219.98","$2,635.54","$1,454.71","$4,394.01",100.0%
,
BURN RATE NOTES,"Partial month start","Minimal spend","Contractor hiring begins","US travel for partnerships (El Al flight $1,283)","Year-end contractor work",,
