,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Boostability - 2025 Profit & Loss Statement,,,,Boostability - 2024 Profit & Loss Statement,,
"January 1 till December 31, 2025",,,,As of December 31,2024 (Aug 14 - Dec 31 Period Only),
,,,,,,
,Amount,% of OpEx,,,Amount,% of OpEx
REVENUE,,,,REVENUE,,
Institutional Contracts,0.00,0.00%,,Institutional Contracts,0.00,0.00%
TOTAL REVENUE,0.00,0.00%,,TOTAL REVENUE,0.00,0.00%
,,,,,,
OPERATING EXPENSES,,,,OPERATING EXPENSES,,
Platform & Development,"1,576.51",13.40%,,Platform & Development,"1,454.74",46.00%
AI & LLM Services,580.00,4.90%,,AI & LLM Services,60.00,1.90%
Team Communications,196.30,1.70%,,Team Communications,33.98,1.10%
Legal & Professional Services,"2,061.96",17.50%,,Legal & Professional Services,"1,332.46",42.20%
Conferences & Business Development,"5,259.53",44.60%,,Conferences & Business Development,"1,283.09",40.60%
Infrastructure & Operations,858.43,7.30%,,Infrastructure & Operations,224.90,7.10%
Equipment & Technology,"1,576.51",13.40%,,Equipment & Technology,0.00,0.00%
Bank & Transaction Fees,81.84,0.70%,,Office Supplies & Miscellaneous,21.89,0.70%
TOTAL OPERATING EXPENSES,"(11,791.08)",100.00%,,Bank & Transaction Fees,2.95,0.10%
,,,,TOTAL OPERATING EXPENSES,"(3,158.44)",100.00%
OPERATING LOSS,"(11,791.08)",,,,,
,,,,OPERATING LOSS,"(3,158.44)",
NET LOSS (2025),"(11,791.08)",,,,,
,,,,NET LOSS (Aug 14 - Dec 31 2024),"(3,158.44)",
COMPANY STAGE,,,,,,
Stage,"Pre-revenue, validation",,,,,
Key Activity,100+ student pilot; signed paid contract Q4 2025,,,,,
Runway Status,Bootstrap funded; seeking $750K seed,,,,,
,,,,,,
MONTHLY BURN ANALYSIS,,,,MONTHLY BURN ANALYSIS (Aug-Dec),,
Median Monthly Burn,360.00,,,Highest Month,"$1,521 (November - flight to US)",
Average Monthly Burn (excluding spikes),415.00,,,Lowest Month,$122 (August - partial month),
Highest Month,"$4,353 (November - conferences)",,,Average Monthly Burn,632.00,
Lowest Month,$44 (September),,,Burn Rate Status,Early stage; foundational spending for product build,
Burn Rate Status,Sustainable bootstrapped runway,,,,,
