Service,January,February,March,April,May,June,July,August,September,October,November,December,Category Total
--- AI & LLM SERVICES ---,,,,,,,,,,,,
Anthropic (Claude),"20.00","20.00","20.00","20.00","20.00","20.00","20.00","20.00","20.00","20.00","20.00","20.00","240.00"
OpenAI (ChatGPT),"0.00","20.00","20.00","20.00","0.00","0.00","0.00","0.00","0.00","20.00","20.00","0.00","120.00"
Perplexity AI,"0.00","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.00"
Lenny's Newsletter (AI Resources),"0.00","0.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00","0.00","0.00","0.00","200.00"
AI & LLM Services Subtotal,"20.00","40.00","40.00","60.00","20.00","20.00","220.00","20.00","20.00","40.00","40.00","20.00","580.00"
--- PLATFORM & DEVELOPMENT ---,,,,,,,,,,,,
Bubble (No-Code Platform),"0.00","0.00","0.00","0.00","0.00","250.40","228.59","48.92","0.00","0.00","18.56","0.00","546.47"
Loom (Recording/Documentation),"24.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.00"
OpenAI API (Product),"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
N8n Cloud (Automation),"0.00","0.00","0.00","0.00","0.00","0.00","24.00","0.00","0.00","0.00","0.00","0.00","24.00"
Lovable (Low-Code),"0.00","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.00"
Gamma (Presentation),"0.00","0.00","0.00","0.00","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00","20.00"
Rendrforst (Development Tool),"39.00","0.00","0.00","2.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41.38"
Upwork (Contractor Dev),"214.99","0.00","0.00","0.00","0.00","0.00","0.00","5.31","0.00","0.00","0.00","0.00","220.30"
Platform & Dev Subtotal,"277.99","0.00","0.00","22.38","0.00","250.40","272.59","54.23","0.00","0.00","18.56","0.00","895.15"
